Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;2;1;11;Update;Time;3012200
NMF;Q1;2;1;11;Update;Memory;82927616
NMF;Q1;2;1;11;Update;Elements;167197|404236|723178
NMF;Q1;2;1;12;Update;Time;3386700
NMF;Q1;2;1;12;Update;Memory;82927616
NMF;Q1;2;1;12;Update;Elements;167197|404236|723178
NMF;Q1;2;1;13;Update;Time;2785000
NMF;Q1;2;1;13;Update;Memory;82927616
NMF;Q1;2;1;13;Update;Elements;167197|404236|723178
NMF;Q1;2;1;14;Update;Time;3410200
NMF;Q1;2;1;14;Update;Memory;82927616
NMF;Q1;2;1;14;Update;Elements;167197|404236|723178
NMF;Q1;2;1;15;Update;Time;2637200
NMF;Q1;2;1;15;Update;Memory;82927616
NMF;Q1;2;1;15;Update;Elements;167197|404236|723178
NMF;Q1;2;1;16;Update;Time;2971400
NMF;Q1;2;1;16;Update;Memory;82927616
NMF;Q1;2;1;16;Update;Elements;167197|404236|723178
NMF;Q1;2;1;17;Update;Time;4384400
NMF;Q1;2;1;17;Update;Memory;83058688
NMF;Q1;2;1;17;Update;Elements;167197|404236|723178
NMF;Q1;2;1;18;Update;Time;3401800
NMF;Q1;2;1;18;Update;Memory;83058688
NMF;Q1;2;1;18;Update;Elements;167197|404236|723178
NMF;Q1;2;1;19;Update;Time;3066100
NMF;Q1;2;1;19;Update;Memory;83058688
NMF;Q1;2;1;19;Update;Elements;167197|404236|723178
NMF;Q1;2;1;20;Update;Time;2928000
NMF;Q1;2;1;20;Update;Memory;83058688
NMF;Q1;2;1;20;Update;Elements;167197|404236|723178
NMF;Q1;2;2;0;Initialization;Time;380562500
NMF;Q1;2;2;0;Initialization;Memory;74448896
NMF;Q1;2;2;0;Load;Time;99013800
NMF;Q1;2;2;0;Load;Memory;82313216
NMF;Q1;2;2;0;Initial;Time;15452000
NMF;Q1;2;2;0;Initial;Memory;82575360
NMF;Q1;2;2;0;Initial;Elements;167197|723178|404286
NMF;Q1;2;2;1;Update;Time;5333200
NMF;Q1;2;2;1;Update;Memory;82911232
NMF;Q1;2;2;1;Update;Elements;167197|723178|404286
NMF;Q1;2;2;2;Update;Time;2694800
NMF;Q1;2;2;2;Update;Memory;82911232
NMF;Q1;2;2;2;Update;Elements;167197|723178|404286
NMF;Q1;2;2;3;Update;Time;2585000
NMF;Q1;2;2;3;Update;Memory;82911232
NMF;Q1;2;2;3;Update;Elements;167197|723178|404286
NMF;Q1;2;2;4;Update;Time;2602700
NMF;Q1;2;2;4;Update;Memory;82911232
NMF;Q1;2;2;4;Update;Elements;404236|167197|723178
NMF;Q1;2;2;5;Update;Time;5739800
NMF;Q1;2;2;5;Update;Memory;83173376
NMF;Q1;2;2;5;Update;Elements;404236|167197|723178
NMF;Q1;2;2;6;Update;Time;2900800
NMF;Q1;2;2;6;Update;Memory;83173376
NMF;Q1;2;2;6;Update;Elements;404236|167197|723178
NMF;Q1;2;2;7;Update;Time;3082500
NMF;Q1;2;2;7;Update;Memory;83304448
NMF;Q1;2;2;7;Update;Elements;404236|167197|723178
NMF;Q1;2;2;8;Update;Time;2734800
NMF;Q1;2;2;8;Update;Memory;83304448
NMF;Q1;2;2;8;Update;Elements;404236|167197|723178
NMF;Q1;2;2;9;Update;Time;2867700
NMF;Q1;2;2;9;Update;Memory;83304448
NMF;Q1;2;2;9;Update;Elements;404236|167197|723178
NMF;Q1;2;2;10;Update;Time;3115600
NMF;Q1;2;2;10;Update;Memory;83304448
NMF;Q1;2;2;10;Update;Elements;404236|167197|723178
NMF;Q1;2;2;11;Update;Time;3102800
NMF;Q1;2;2;11;Update;Memory;83304448
NMF;Q1;2;2;11;Update;Elements;167197|404236|723178
NMF;Q1;2;2;12;Update;Time;3221500
NMF;Q1;2;2;12;Update;Memory;83304448
NMF;Q1;2;2;12;Update;Elements;167197|404236|723178
NMF;Q1;2;2;13;Update;Time;3447000
NMF;Q1;2;2;13;Update;Memory;83304448
NMF;Q1;2;2;13;Update;Elements;167197|404236|723178
NMF;Q1;2;2;14;Update;Time;3129500
NMF;Q1;2;2;14;Update;Memory;83304448
NMF;Q1;2;2;14;Update;Elements;167197|404236|723178
NMF;Q1;2;2;15;Update;Time;3944600
